"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,92106,"77802","TX","College Station","Brazos","Bryan",5390,155500,0.00193298969072165,0.00843060959792477,0.0746371803731859,0.015062567212577,0.0212592068907942,"2016-02","2016-Q1",155500,0,"2016-02"
2016-02-29,66669,"20855","MD","Washington","Montgomery","Derwood",5391,449500,-0.00354688539126579,-0.00969376514650804,-0.00882028665931643,0.0162466620835611,-0.0180851577542647,"2006-07","2006-Q3",549800,-0.182429974536195,"2004-07"
2016-02-29,70054,"28590","NC","Greenville","Pitt","Greenville",5392,143800,-0.00138888888888889,-0.00484429065743945,0.00139275766016713,0.00181793956780552,0.00126043244669649,"2008-12","2008-Q4",148500,-0.0316498316498317,"2007-05"
2016-02-29,72929,"33948","FL","Punta Gorda","Charlotte","Port Charlotte",5393,153900,0.00719895287958115,0.027369826435247,0.140845070422535,0.0823700659161211,-0.0384152681840599,"2006-04","2006-Q2",230300,-0.331741207121146,"2004-07"
2016-02-29,61218,"08859","NJ","New York","Middlesex","Madison Park",5394,269300,-0.00111275964391691,-0.00700589970501475,-0.0392436674991081,-0.00352716558387123,-0.0228409707905515,"2006-05","2006-Q2",341500,-0.211420204978038,"2004-04"
2016-02-29,62663,"12561","NY","Kingston","Ulster","Town of New Paltz",5395,258500,0.00310438494373302,0.00858369098712446,-0.0307461567304087,-0.00107966628029887,-0.0157907075937129,"2006-08","2006-Q3",315900,-0.181703070591959,"2004-06"
2016-02-29,65920,"19428","PA","Philadelphia","Montgomery","Conshohocken",5396,274300,0.00439399487367265,0.0147983721790603,0.0394088669950739,0.0198702810559848,0.00996755319580478,"2016-02","2016-Q1",274300,0,"2016-02"
2016-02-29,98428,"95819","CA","Sacramento","Sacramento","Sacramento",5397,490900,0.0016323199347072,0.0254856904115312,0.145356976201587,0.0765411887445204,0.00228972649484893,"2016-02","2016-Q1",490900,0,"2016-02"
2016-02-29,70235,"28803","NC","Asheville","Buncombe","Asheville",5398,228700,0.00219106047326906,0.0146406388642413,0.0706928838951311,0.0307100963769713,0.0169589693677854,"2016-02","2016-Q1",228700,0,"2016-02"
2016-02-29,94873,"85284","AZ","Phoenix","Maricopa","Tempe",5399,398100,0.00454201362604088,0.0189403634502176,0.0468051538259269,0.0555550348486971,-0.0179394260385237,"2006-02","2006-Q1",477100,-0.165583735066024,"2005-06"
2016-02-29,58612,"02081","MA","Boston","Norfolk","Town of Walpole",5400,428500,-0.00209594783418724,-0.000233317778814746,0.0451219512195122,0.0327685697864113,-0.000139915606862773,"2005-11","2005-Q4",437300,-0.0201234850217242,"2005-06"
2016-02-29,81308,"53228","WI","Milwaukee","Milwaukee","Greenfield",5401,132800,0,-0.00598802395209581,-0.0404624277456647,-0.00779621530481256,-0.028156906729019,"2006-05","2006-Q2",179200,-0.258928571428571,"2002-12"
2016-02-29,97094,"93015","CA","Ventura","Ventura","Fillmore",5402,394000,0.00818833162743091,0.0354796320630749,0.137741842333237,0.0826369684150621,-0.0286291969180212,"2006-06","2006-Q2",542700,-0.274000368527732,"2004-06"
2016-02-29,61833,"10520","NY","New York","Westchester","Croton-on-Hudson",5403,508900,0.0123333996419336,0.0398447078054761,0.0925289823958781,0.0226433788604379,-0.00644649236622974,"2006-05","2006-Q2",556200,-0.0850413520316433,"2005-01"
2016-02-29,74645,"38107","TN","Memphis","Shelby","Memphis",5404,49000,-0.00203665987780041,-0.0180360721442886,0.022964509394572,-0.0159428713336964,-0.0333688992526537,"2006-05","2006-Q2",71300,-0.312762973352034,"1998-07"
2016-02-29,60500,"06903","CT","Stamford","Fairfield","Stamford",5405,669100,-0.0121068950243614,-0.0358789625360231,-0.0528029445073613,-0.00765254529447335,-0.0248441835276161,"2005-05","2005-Q2",875500,-0.235750999428898,"2002-05"
2016-02-29,85080,"61615","IL","Peoria","Peoria","Peoria",5406,157300,-0.00253646163601775,-0.00882167611846251,-0.0137931034482759,-0.00611628523139629,-0.00170045310550782,"2007-11","2007-Q4",168000,-0.0636904761904762,"2005-04"
2016-02-29,72053,"32541","FL","Crestview-Fort Walton Beach-Destin, FL","Okaloosa","Destin",5407,305000,-0.00489396411092985,-0.0107038598767434,0,0.0323617316732805,-0.0415632840467158,"2006-01","2006-Q1",470500,-0.351753453772582,"2004-08"
2016-02-29,74842,"38478","TN",,"Giles","Pulaski",5408,94100,-0.00528541226215645,-0.00633579725448786,-0.0197916666666667,0.0361262609814152,0.0168751996969161,"2014-11","2014-Q4",99900,-0.0580580580580581,"2014-07"
2016-02-29,66815,"21205","MD","Baltimore","Baltimore City","Baltimore",5409,61000,0.0269360269360269,0.0701754385964912,0.227364185110664,0.0651087802234442,0.0109606480318856,"2007-04","2007-Q2",61700,-0.0113452188006483,"2007-01"
